TRADE_DATE,TICKER,COMPANY_NAME,SECTOR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,DAILY_RETURN_PCT,CUMULATIVE_RETURN_PCT,MOVING_AVG_7D,MOVING_AVG_30D,VOLATILITY_30D,VOLUME_AVG_20D,PRICE_VS_52W_HIGH,PRICE_VS_52W_LOW
2026-01-28,AAPL,AAPL,,257.409147241713,258.61800761819165,254.27208306792676,256.2002868652344,41288000,-0.7085445328186761,3.9481218430425233,251.31626892089844,251.31626892089844,1.2853095225636797,51887428.571,,
2026-01-28,AMZN,"Amazon.com, Inc.",Consumer Cyclical,246.3699951171875,247.77999877929688,241.52999877929688,243.00999450683594,40882700,-0.6825233852112221,5.199131821141099,237.4171404157366,237.4171404157366,1.34356780955487,38920457.142,93.97138225322348,150.58247273939517
2026-01-28,GOOGL,GOOGL,,336.05999755859375,337.5400085449219,331.94000244140625,336.010009765625,27434400,0.4364136977819179,4.350934709821429,330.38143048967635,330.38143048967635,0.9884049041238354,28484842.857,,
2026-01-28,JNJ,Johnson & Johnson,Healthcare,226.39999389648438,228.57000732421875,226.0800018310547,227.72000122070312,9026500,1.4614145177409597,4.358184416036489,221.21428789411272,221.21428789411272,0.6074868837191632,10423985.714,92.43758929194364,160.93286305350045
2026-01-28,JPM,JP Morgan Chase & Co.,Financial Services,300.2699890136719,301.9200134277344,298.04998779296875,300.7699890136719,9556700,0.15317220832395886,-0.6507238172195193,301.17857142857144,301.17857142857144,1.037290888923089,11093028.571,89.18309533392791,148.77819005425005
2026-01-28,META,"Meta Platforms, Inc.",Communication Services,674.5,677.6799926757812,666.0999755859375,668.72998046875,25709600,-0.6300415202694736,10.694892715648226,648.2185668945312,648.2185668945312,2.184254161917801,18455871.428,83.9849269034537,139.37681960582532
2026-01-28,MSFT,Microsoft Corporation,Technology,483.2099914550781,483.739990234375,478.0,481.6300048828125,36875400,0.21848981228621803,5.964537649481717,464.0299987792969,464.0299987792969,1.9187643981523637,31834371.428,86.70987575529975,139.68792740010224
2026-01-28,NVDA,NVIDIA Corporation,Technology,191.27000427246094,192.35000610351562,189.83999633789062,191.52000427246094,148552700,1.5913430575060945,7.553207387560374,185.77285984584265,185.77285984584265,1.170135884469361,160453557.142,90.25873239665438,221.10367613999182
2026-01-28,TSLA,"Tesla, Inc.",Consumer Cyclical,431.9100036621094,438.260009765625,430.1000061035156,431.4599914550781,54857400,0.12995998294868363,2.912341432338253,435.2385689871652,435.2385689871652,2.6336021871886253,57373900.000,86.49439517572682,201.38155960563742
2026-01-28,V,Visa Inc.,Financial Services,326.05764337353963,327.71423096530964,324.21144434052763,326.30712890625,8106000,0.5288079271265164,0.35602800281833996,325.66700962611606,325.66700962611606,0.610994900914392,7410442.857,86.89705438104178,109.13281903219062
2026-01-29,AAPL,AAPL,,257.75880668092503,259.4072580677027,254.17216647920577,258.0385437011719,67253000,0.7175077196164319,4.693957641662648,252.96900721958704,252.15655326843262,1.173565371869391,53808125.000,,
2026-01-29,AMZN,"Amazon.com, Inc.",Consumer Cyclical,242.82000732421875,243.0,236.74000549316406,241.72999572753906,47229600,-0.5267268047532375,4.645019795471455,238.9499969482422,237.9562473297119,1.3331752507758992,39959100.000,93.47640979409863,149.78931449221656
2026-01-29,GOOGL,GOOGL,,340.29998779296875,342.2900085449219,326.5400085449219,338.25,39785600,0.6666439002628066,5.046583850931677,332.7028590611049,331.3650016784668,0.9024820214809797,29897437.500,,
2026-01-29,JNJ,Johnson & Johnson,Healthcare,228.80999755859375,230.0,227.0800018310547,227.2899932861328,9645300,-0.1888318690783576,4.161122905867449,222.5114288330078,221.97375106811523,0.6513417200345589,10326650.000,92.26303766435268,160.62897052023519
2026-01-29,JPM,JP Morgan Chase & Co.,Financial Services,302.3999938964844,306.8299865722656,302.2200012207031,306.4200134277344,11580000,1.8785200054669253,1.2155722111605993,301.7042890276228,301.8337516784668,1.2075851470606247,11153900.000,90.85841762127038,151.57301811819073
2026-01-29,META,"Meta Platforms, Inc.",Communication Services,737.4299926757812,744.0,712.5499877929688,738.3099975585938,59852900,10.404800012266723,22.212474926504626,667.3885672433036,659.4799957275391,3.838366907919403,23630500.000,92.72339058820643,153.87869894926922
2026-01-29,MSFT,Microsoft Corporation,Technology,439.989990234375,442.5,421.0199890136719,433.5,128855300,-9.993149179840492,-4.624656675559234,461.0271432059152,460.21374893188477,4.504099850247419,43961987.500,78.04482851741831,125.72870442878272
2026-01-29,NVDA,NVIDIA Corporation,Technology,191.33999633789062,193.47999572753906,186.05999755859375,192.50999450683594,171764400,0.5169121826911701,8.109163019421771,187.8357151576451,186.6150016784668,1.1013500598871504,161867412.500,90.72529078035532,222.24658797833746
2026-01-29,TSLA,"Tesla, Inc.",Consumer Cyclical,437.79998779296875,440.2300109863281,414.6199951171875,416.55999755859375,81686100,-3.4533894663639284,-0.6416225262745976,434.85428292410717,432.90374755859375,2.832317932504703,60412925.000,83.5074068437331,194.4270700390169
2026-01-29,V,Visa Inc.,Financial Services,329.3209038427684,332.6739747908746,322.844269146056,331.1171875,10214200,1.474089337205979,1.8353655108513314,326.51953560965404,326.34828186035156,0.7722907425308334,7760912.500,88.1779945940188,110.74153428093645
